feature,importance
value__fourier_entropy__bins_2,254
value__friedrich_coefficients__coeff_1__m_3__r_30,254
"value__fft_coefficient__attr_""abs""__coeff_12",254
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",253
value__last_location_of_maximum,253
"value__fft_coefficient__attr_""abs""__coeff_23",252
value__time_reversal_asymmetry_statistic__lag_1,252
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",250
"value__fft_coefficient__attr_""abs""__coeff_20",249
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",249
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",249
value__lempel_ziv_complexity__bins_3,245
value__permutation_entropy__dimension_5__tau_1,242
value__ar_coefficient__coeff_9__k_10,242
value__time_reversal_asymmetry_statistic__lag_3,240
"value__fft_coefficient__attr_""imag""__coeff_9",238
"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",235
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",235
"value__fft_coefficient__attr_""real""__coeff_19",233
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",232
"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4",231
"value__fft_coefficient__attr_""real""__coeff_8",231
"value__fft_coefficient__attr_""angle""__coeff_18",229
value__permutation_entropy__dimension_3__tau_1,229
value__last_location_of_minimum,229
value__absolute_sum_of_changes,228
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",228
"value__fft_coefficient__attr_""real""__coeff_10",227
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",227
"value__fft_coefficient__attr_""angle""__coeff_9",226
value__longest_strike_above_mean,226
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",226
"value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",226
"value__fft_coefficient__attr_""real""__coeff_21",225
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",225
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",224
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",223
"value__fft_coefficient__attr_""abs""__coeff_26",222
"value__fft_coefficient__attr_""angle""__coeff_20",222
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",222
"value__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",222
"value__fft_coefficient__attr_""angle""__coeff_16",221
"value__fft_coefficient__attr_""real""__coeff_13",221
"value__fft_coefficient__attr_""abs""__coeff_10",221
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4",221
value__number_crossing_m__m_0,220
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",220
"value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",219
"value__fft_coefficient__attr_""abs""__coeff_27",219
"value__fft_coefficient__attr_""abs""__coeff_13",219
"value__fft_coefficient__attr_""angle""__coeff_5",218
"value__fft_coefficient__attr_""real""__coeff_7",218
"value__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)",217
"value__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",217
"value__fft_coefficient__attr_""real""__coeff_6",217
value__autocorrelation__lag_1,215
"value__fft_coefficient__attr_""angle""__coeff_27",214
"value__fft_coefficient__attr_""angle""__coeff_15",213
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",212
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",211
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",211
"value__fft_coefficient__attr_""angle""__coeff_23",209
"value__fft_coefficient__attr_""imag""__coeff_3",209
"value__fft_coefficient__attr_""imag""__coeff_6",208
"value__fft_coefficient__attr_""angle""__coeff_11",208
"value__fft_coefficient__attr_""angle""__coeff_4",208
"value__fft_coefficient__attr_""abs""__coeff_15",208
"value__fft_coefficient__attr_""angle""__coeff_6",207
"value__cwt_coefficients__coeff_9__w_2__widths_(2, 5, 10, 20)",206
value__median,206
value__lempel_ziv_complexity__bins_100,205
"value__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",205
"value__fft_coefficient__attr_""real""__coeff_25",205
"value__fft_coefficient__attr_""angle""__coeff_24",205
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4",205
"value__fft_coefficient__attr_""real""__coeff_12",204
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",204
"value__fft_coefficient__attr_""real""__coeff_22",202
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",202
"value__fft_coefficient__attr_""angle""__coeff_25",201
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",201
"value__fft_coefficient__attr_""abs""__coeff_22",198
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2",198
"value__fft_coefficient__attr_""angle""__coeff_19",198
"value__fft_coefficient__attr_""abs""__coeff_19",198
"value__cwt_coefficients__coeff_8__w_2__widths_(2, 5, 10, 20)",197
"value__fft_coefficient__attr_""angle""__coeff_8",195
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",195
"value__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",195
"value__fft_coefficient__attr_""imag""__coeff_21",194
"value__fft_coefficient__attr_""angle""__coeff_10",194
"value__fft_coefficient__attr_""angle""__coeff_12",193
"value__fft_coefficient__attr_""real""__coeff_17",193
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",192
"value__cwt_coefficients__coeff_13__w_2__widths_(2, 5, 10, 20)",192
"value__fft_coefficient__attr_""abs""__coeff_25",191
"value__fft_coefficient__attr_""abs""__coeff_11",191
"value__fft_coefficient__attr_""real""__coeff_27",191
"value__fft_coefficient__attr_""real""__coeff_20",191
"value__fft_coefficient__attr_""imag""__coeff_20",191
"value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",191
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",190
"value__fft_coefficient__attr_""imag""__coeff_2",190
"value__fft_coefficient__attr_""real""__coeff_11",189
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",189
"value__fft_coefficient__attr_""angle""__coeff_17",188
"value__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)",188
"value__fft_coefficient__attr_""real""__coeff_15",187
"value__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)",187
"value__fft_coefficient__attr_""angle""__coeff_30",187
"value__fft_coefficient__attr_""angle""__coeff_7",186
"value__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",186
"value__fft_coefficient__attr_""real""__coeff_26",185
value__lempel_ziv_complexity__bins_10,185
"value__fft_coefficient__attr_""imag""__coeff_15",184
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",184
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",184
"value__fft_coefficient__attr_""imag""__coeff_25",184
"value__fft_coefficient__attr_""imag""__coeff_4",183
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",183
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",181
"value__fft_coefficient__attr_""real""__coeff_24",181
"value__fft_coefficient__attr_""imag""__coeff_22",180
"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",179
"value__fft_coefficient__attr_""real""__coeff_29",179
"value__fft_coefficient__attr_""imag""__coeff_17",179
"value__fft_coefficient__attr_""abs""__coeff_21",178
"value__fft_coefficient__attr_""angle""__coeff_13",178
"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",177
"value__fft_coefficient__attr_""real""__coeff_30",177
"value__fft_coefficient__attr_""real""__coeff_9",176
value__permutation_entropy__dimension_7__tau_1,176
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0",176
"value__fft_coefficient__attr_""real""__coeff_32",176
"value__fft_coefficient__attr_""imag""__coeff_11",176
"value__fft_coefficient__attr_""real""__coeff_14",175
"value__fft_coefficient__attr_""angle""__coeff_28",175
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",175
"value__fft_coefficient__attr_""imag""__coeff_26",175
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""",175
"value__fft_coefficient__attr_""abs""__coeff_30",174
"value__fft_coefficient__attr_""imag""__coeff_23",174
"value__fft_coefficient__attr_""real""__coeff_16",172
"value__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",172
"value__fft_coefficient__attr_""imag""__coeff_24",171
"value__fft_coefficient__attr_""imag""__coeff_13",171
value__permutation_entropy__dimension_6__tau_1,170
"value__fft_coefficient__attr_""imag""__coeff_19",170
"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",168
"value__fft_coefficient__attr_""imag""__coeff_7",167
"value__fft_coefficient__attr_""real""__coeff_23",167
"value__fft_coefficient__attr_""angle""__coeff_29",166
"value__fft_coefficient__attr_""abs""__coeff_31",166
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",166
"value__fft_coefficient__attr_""abs""__coeff_36",165
"value__fft_coefficient__attr_""imag""__coeff_5",164
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",164
"value__fft_coefficient__attr_""angle""__coeff_34",163
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",163
"value__fft_coefficient__attr_""imag""__coeff_10",163
"value__fft_coefficient__attr_""angle""__coeff_22",163
"value__fft_coefficient__attr_""angle""__coeff_14",162
"value__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)",161
value__ratio_beyond_r_sigma__r_3,161
"value__fft_coefficient__attr_""abs""__coeff_24",161
value__abs_energy,160
"value__fft_coefficient__attr_""real""__coeff_28",160
"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",160
"value__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",159
"value__fft_coefficient__attr_""abs""__coeff_29",158
"value__fft_coefficient__attr_""abs""__coeff_28",157
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",156
value__first_location_of_minimum,156
"value__fft_coefficient__attr_""imag""__coeff_16",156
"value__fft_coefficient__attr_""imag""__coeff_14",156
"value__fft_coefficient__attr_""imag""__coeff_33",156
"value__fft_coefficient__attr_""angle""__coeff_26",156
"value__fft_coefficient__attr_""abs""__coeff_32",155
"value__fft_coefficient__attr_""imag""__coeff_27",155
"value__fft_coefficient__attr_""real""__coeff_18",154
"value__fft_coefficient__attr_""angle""__coeff_41",154
"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",154
"value__fft_coefficient__attr_""imag""__coeff_12",154
"value__fft_coefficient__attr_""imag""__coeff_18",153
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",153
"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",152
"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",150
"value__fft_coefficient__attr_""angle""__coeff_32",150
"value__fft_coefficient__attr_""imag""__coeff_1",149
"value__fft_coefficient__attr_""angle""__coeff_39",148
"value__fft_coefficient__attr_""imag""__coeff_31",148
"value__fft_coefficient__attr_""angle""__coeff_31",148
"value__fft_coefficient__attr_""imag""__coeff_8",147
value__count_above__t_0,146
"value__fft_coefficient__attr_""angle""__coeff_33",145
"value__fft_coefficient__attr_""abs""__coeff_34",145
"value__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)",140
"value__fft_coefficient__attr_""abs""__coeff_35",137
"value__cwt_coefficients__coeff_5__w_5__widths_(2, 5, 10, 20)",136
value__first_location_of_maximum,135
